Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Normalized 3m_Color,Normalized 6m_Color,Normalized 1y_Color
MNKD,,,,#FFFFFF,#FFFFFF,#FFFFFF
INVA,,,,#FFFFFF,#FFFFFF,#FFFFFF
OPEN,,,,#FFFFFF,#FFFFFF,#FFFFFF
LAC,,,,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,,,,#FFFFFF,#FFFFFF,#FFFFFF
TPIC,,,,#FFFFFF,#FFFFFF,#FFFFFF
PRO,,,,#FFFFFF,#FFFFFF,#FFFFFF
HOUS,,,,#FFFFFF,#FFFFFF,#FFFFFF
MLAB,,,,#FFFFFF,#FFFFFF,#FFFFFF
DDD,,,,#FFFFFF,#FFFFFF,#FFFFFF
SATS,,,,#FFFFFF,#FFFFFF,#FFFFFF
IONS,,,,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,,,,#FFFFFF,#FFFFFF,#FFFFFF
IIIV,,,,#FFFFFF,#FFFFFF,#FFFFFF
HAE,,,,#FFFFFF,#FFFFFF,#FFFFFF
LNTH,,,,#FFFFFF,#FFFFFF,#FFFFFF
AORT,,,,#FFFFFF,#FFFFFF,#FFFFFF
CDLX,,,,#FFFFFF,#FFFFFF,#FFFFFF
RUN,,,,#FFFFFF,#FFFFFF,#FFFFFF
BLMN,,,,#FFFFFF,#FFFFFF,#FFFFFF
SPB,,,,#FFFFFF,#FFFFFF,#FFFFFF
RNG,,,,#FFFFFF,#FFFFFF,#FFFFFF
FLR,,,,#FFFFFF,#FFFFFF,#FFFFFF
ZD,,,,#FFFFFF,#FFFFFF,#FFFFFF
DAY,,,,#FFFFFF,#FFFFFF,#FFFFFF
CHGG,,,,#FFFFFF,#FFFFFF,#FFFFFF
SRPT,,,,#FFFFFF,#FFFFFF,#FFFFFF
WOLF,,,,#FFFFFF,#FFFFFF,#FFFFFF
ENOV,,,,#FFFFFF,#FFFFFF,#FFFFFF
WK,,,,#FFFFFF,#FFFFFF,#FFFFFF
MODG,,,,#FFFFFF,#FFFFFF,#FFFFFF
MP,,,,#FFFFFF,#FFFFFF,#FFFFFF
XRX,,,,#FFFFFF,#FFFFFF,#FFFFFF
GMED,,,,#FFFFFF,#FFFFFF,#FFFFFF
MTH,,,,#FFFFFF,#FFFFFF,#FFFFFF
AMPH,,,,#FFFFFF,#FFFFFF,#FFFFFF
SABR,,,,#FFFFFF,#FFFFFF,#FFFFFF
GWRE,,,,#FFFFFF,#FFFFFF,#FFFFFF
TVTX,,,,#FFFFFF,#FFFFFF,#FFFFFF
NSIT,,,,#FFFFFF,#FFFFFF,#FFFFFF
MIDD,,,,#FFFFFF,#FFFFFF,#FFFFFF
SEDG,,,,#FFFFFF,#FFFFFF,#FFFFFF
ENPH,,,,#FFFFFF,#FFFFFF,#FFFFFF
LCID,,,,#FFFFFF,#FFFFFF,#FFFFFF
PAR,,,,#FFFFFF,#FFFFFF,#FFFFFF
WIX,,,,#FFFFFF,#FFFFFF,#FFFFFF
DOCN,,,,#FFFFFF,#FFFFFF,#FFFFFF
LIVN,,,,#FFFFFF,#FFFFFF,#FFFFFF
KHC,,,,#FFFFFF,#FFFFFF,#FFFFFF
CHTR,,,,#FFFFFF,#FFFFFF,#FFFFFF
CYTK,,,,#FFFFFF,#FFFFFF,#FFFFFF
BOX,,,,#FFFFFF,#FFFFFF,#FFFFFF
HALO,,,,#FFFFFF,#FFFFFF,#FFFFFF
PLUG,,,,#FFFFFF,#FFFFFF,#FFFFFF
PRGS,,,,#FFFFFF,#FFFFFF,#FFFFFF
TTGT,,,,#FFFFFF,#FFFFFF,#FFFFFF
CBRL,,,,#FFFFFF,#FFFFFF,#FFFFFF
DVAX,,,,#FFFFFF,#FFFFFF,#FFFFFF
GPRE,,,,#FFFFFF,#FFFFFF,#FFFFFF
VERI,,,,#FFFFFF,#FFFFFF,#FFFFFF
KPTI,,,,#FFFFFF,#FFFFFF,#FFFFFF
CABO,,,,#FFFFFF,#FFFFFF,#FFFFFF
IRWD,,,,#FFFFFF,#FFFFFF,#FFFFFF
WGO,,,,#FFFFFF,#FFFFFF,#FFFFFF
EVH,,,,#FFFFFF,#FFFFFF,#FFFFFF
BHR,,,,#FFFFFF,#FFFFFF,#FFFFFF
BTU,,,,#FFFFFF,#FFFFFF,#FFFFFF
RIG,,,,#FFFFFF,#FFFFFF,#FFFFFF
SKIN,,,,#FFFFFF,#FFFFFF,#FFFFFF
LRN,,,,#FFFFFF,#FFFFFF,#FFFFFF
CFLT,,,,#FFFFFF,#FFFFFF,#FFFFFF
PEB,,,,#FFFFFF,#FFFFFF,#FFFFFF
HLX,,,,#FFFFFF,#FFFFFF,#FFFFFF
NMFC,,,,#FFFFFF,#FFFFFF,#FFFFFF
AAL,,,,#FFFFFF,#FFFFFF,#FFFFFF
NOG,,,,#FFFFFF,#FFFFFF,#FFFFFF
RPAY,,,,#FFFFFF,#FFFFFF,#FFFFFF
MRK,,,,#FFFFFF,#FFFFFF,#FFFFFF
NRG,,,,#FFFFFF,#FFFFFF,#FFFFFF
VREX,,,,#FFFFFF,#FFFFFF,#FFFFFF
NBR,,,,#FFFFFF,#FFFFFF,#FFFFFF
PEP,,,,#FFFFFF,#FFFFFF,#FFFFFF
VSH,,,,#FFFFFF,#FFFFFF,#FFFFFF
INN,,,,#FFFFFF,#FFFFFF,#FFFFFF
HCAT,,,,#FFFFFF,#FFFFFF,#FFFFFF
KOS,,,,#FFFFFF,#FFFFFF,#FFFFFF
MDB,,,,#FFFFFF,#FFFFFF,#FFFFFF
PCG,,,,#FFFFFF,#FFFFFF,#FFFFFF
STX,,,,#FFFFFF,#FFFFFF,#FFFFFF
IDCC,,,,#FFFFFF,#FFFFFF,#FFFFFF
CHEF,,,,#FFFFFF,#FFFFFF,#FFFFFF
ATI,,,,#FFFFFF,#FFFFFF,#FFFFFF
JAZZ,,,,#FFFFFF,#FFFFFF,#FFFFFF
PR,,,,#FFFFFF,#FFFFFF,#FFFFFF
GES,,,,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,,,,#FFFFFF,#FFFFFF,#FFFFFF
GBX,,,,#FFFFFF,#FFFFFF,#FFFFFF
JAMF,,,,#FFFFFF,#FFFFFF,#FFFFFF
BABA,,,,#FFFFFF,#FFFFFF,#FFFFFF
ECPG,,,,#FFFFFF,#FFFFFF,#FFFFFF
IMCR,,,,#FFFFFF,#FFFFFF,#FFFFFF
TWO,,,,#FFFFFF,#FFFFFF,#FFFFFF
NEO,,,,#FFFFFF,#FFFFFF,#FFFFFF
ARRY,,,,#FFFFFF,#FFFFFF,#FFFFFF
EZPW,,,,#FFFFFF,#FFFFFF,#FFFFFF
NICE,,,,#FFFFFF,#FFFFFF,#FFFFFF
GPN,,,,#FFFFFF,#FFFFFF,#FFFFFF
